국가별,HDI_순위,인간개발지수,기대수명,평균교육기간,기대교육기간,1인당 GNI(달러)
세네갈,164,0.505,67.5,3,9.7,2384
세이셸,62,0.797,73.7,9.5,14.8,26077
시에라리온,184,0.419,52.2,3.5,9.8,1240
소말리아,-,-,56.7,-,-,-
남아프리카공화국,113,0.699,63.4,10.1,13.3,11923
수단,167,0.502,64.7,3.7,7.4,4119
에스와티니,144,0.588,58.3,6.5,11.2,7620
탄자니아,154,0.538,66.3,5.8,8.9,2655
토고,165,0.503,60.5,4.8,12.4,1453
튀니지,95,0.735,75.9,7.2,15.1,10275
우간다,162,0.516,60.2,6.1,11.6,1658
잠비아,144,0.588,62.3,7,12.5,3557
짐바브웨,156,0.535,61.7,8.2,10.3,1683
오세아니아,,,,,,
오스트레일리아,3,0.939,83.1,12.9,22.9,43560
피지,92,0.741,70.4,10.8,15.3,8324
키리바시,134,0.612,66.5,7.9,12.9,3042
마셜제도,106,0.708,73.6,10.9,13,5125
마이크로네시아,131,0.627,69.3,8,11.7,3843
나우루,-,-,-,-,10.3,18573
뉴질랜드,16,0.917,82,12.5,18.9,33970
팔라우,60,0.798,73.4,12.3,15.6,12831
파푸아뉴기니,153,0.544,65.7,4.6,10,3403
사모아,104,0.713,75.2,10.3,12.5,5909
솔로몬제도,152,0.546,71,5.5,10.2,1872
통가,98,0.726,73.2,11.2,14.3,5547
투발루,-,-,-,-,-,5888
바누아투,138,0.603,72.3,6.8,10.9,2995
